1,9,2012-02-25 22:44:35.310000000
3,12,2012-03-05 08:57:29.187000000
4,10,2012-03-05 08:57:39.687000000
5,11,2012-03-05 08:58:06.153000000
6,13,2012-03-06 12:16:03.037000000
7,14,2012-03-08 03:50:41.907000000
8,11,2012-03-08 03:58:36.013000000
11,18,2012-03-29 11:05:21.390000000
12,17,2012-03-29 11:07:00.140000000
13,16,2012-03-29 11:23:35.153000000
14,15,2012-03-29 11:24:11.467000000
